Order_ID,Customer_ID,Customer_Name,Gender,Age,Platform,Order_Date,Delivery_Date,State,City,Category,Product_ID,Product_Name,Brand,Quantity,Cost_Price,Selling_Price,Discount_%,Sales,Profit,Payment_Method,Delivery_Status,Customer_Rating,Warehouse,Salesperson
ORD100000,CUST10000,Ashley Cox,Female,35,Flipkart,2025-11-27,2026-02-25,Maharashtra,Mumbai,Home,P4053,Pressure Cooker,Prestige,1,17415,19836.65,20,15869.32,2421.65,Debit Card,Cancelled,1.0,Mumbai Hub,Robin Hodges
ORD100001,CUST10001,Rebecca Everett,Female,41,Flipkart,2025-07-05,2024-10-12,Maharashtra,Pune,Grocery,P3274,Sunflower Oil,Fortune,4,13107,17607.4,10,63386.64,18001.6,UPI,Cancelled,2.0,Pune Hub,Austin Mann
ORD100002,CUST10002,Jacob Dalton,Male,22,Flipkart,2025-08-10,2025-09-06,Delhi,New Delhi,Grocery,P1312,Sunflower Oil,Fortune,1,1905,2290.68,15,1947.08,385.68,Debit Card,Cancelled,4.0,New Delhi Hub,Andres Wright
ORD100003,CUST10003,Diana Murphy DDS,Male,59,Flipkart,2024-11-12,2025-09-27,Telangana,Hyderabad,Beauty,P3240,Face Wash,Loreal,3,10574,11718.4,20,28124.16,3433.2,Debit Card,Delivered,2.0,Hyderabad Hub,Eugene Martin
ORD100004,CUST10004,Henry Rojas,Female,55,Flipkart,2024-09-23,2024-10-10,Karnataka,Bengaluru,Beauty,P5574,Face Wash,Loreal,5,19031,27531.63,15,117009.43,42503.15,Credit Card,Delivered,4.0,Bengaluru Hub,Amy Contreras
ORD100005,CUST10005,Morgan Robinson,Male,48,Flipkart,2026-01-05,2025-03-12,Tamil Nadu,Chennai,Grocery,P3562,Sunflower Oil,Fortune,4,7382,9091.91,5,34549.26,6839.64,UPI,Delivered,1.0,Chennai Hub,Mckenzie Brady
ORD100006,CUST10006,Robert Peterson,Female,32,Amazon,2024-11-14,2026-04-18,Telangana,Hyderabad,Electronics,P2671,Galaxy S24,Samsung,2,26006,29271.93,0,58543.86,6531.86,Debit Card,Cancelled,5.0,Hyderabad Hub,Michele Taylor
ORD100007,CUST10007,Lindsey Brown,Male,54,Flipkart,2025-02-20,2024-12-08,Karnataka,Bengaluru,Beauty,P3840,Face Wash,Loreal,3,9411,12520.75,15,31927.91,9329.25,Debit Card,Delivered,2.0,Bengaluru Hub,Christina Stevens
ORD100008,CUST10008,Charlotte Gilbert,Female,46,Flipkart,2024-11-15,2025-05-15,Maharashtra,Mumbai,Grocery,P5256,Sunflower Oil,Fortune,3,18006,20107.58,10,54290.47,6304.74,Debit Card,Cancelled,3.0,Mumbai Hub,Clifford Newton
ORD100009,CUST10009,Rachel Garcia,Male,32,Flipkart,2026-02-14,2025-05-28,Karnataka,Bengaluru,Beauty,P3816,Face Wash,Loreal,2,2839,3511.61,20,5618.58,1345.22,Credit Card,In Transit,4.0,Bengaluru Hub,Jerome Campbell
ORD100010,CUST10010,Travis Keller,Female,46,Amazon,2026-02-16,2024-07-01,Delhi,New Delhi,Fashion,P2051,Air Max Shoes,Nike,5,15167,19780.36,5,93956.71,23066.8,UPI,Delivered,1.0,New Delhi Hub,Anthony Day
